row_index,column,error_type,detail
367,speechiness,missing_value,
372,valence,missing_value,
372,tempo,missing_value,
373,acousticness,missing_value,
385,energy,missing_value,
385,loudness,outlier_low,-71.0968
391,danceability,outlier_high,1.4442
403,energy,missing_value,
408,danceability,missing_value,
413,valence,missing_value,
414,danceability,missing_value,
423,valence,missing_value,
423,loudness,missing_value,
427,instrumentalness,missing_value,
434,energy,missing_value,
445,valence,outlier_low,-0.1066
445,speechiness,missing_value,
449,acousticness,missing_value,
449,valence,missing_value,
455,energy,missing_value,
455,valence,missing_value,
456,loudness,missing_value,
459,tempo,missing_value,
468,instrumentalness,missing_value,
471,tempo,missing_value,
472,instrumentalness,missing_value,
478,danceability,missing_value,
478,loudness,missing_value,
481,instrumentalness,missing_value,
486,acousticness,missing_value,
487,tempo,missing_value,
493,loudness,missing_value,
495,energy,missing_value,
501,energy,missing_value,
505,energy,missing_value,
508,valence,missing_value,
509,tempo,missing_value,
509,energy,missing_value,
514,speechiness,missing_value,
515,liveness,missing_value,
533,valence,outlier_high,1.2136
536,acousticness,missing_value,
536,tempo,outlier_high,334.7054
536,liveness,missing_value,
541,danceability,outlier_high,1.1936
542,loudness,missing_value,
544,acousticness,missing_value,
544,liveness,missing_value,
548,tempo,missing_value,
553,tempo,missing_value,
553,loudness,outlier_high,4.2724
554,speechiness,missing_value,
554,valence,missing_value,
556,instrumentalness,missing_value,
561,speechiness,missing_value,
561,liveness,missing_value,
565,valence,outlier_high,1.0656
567,instrumentalness,missing_value,
569,liveness,missing_value,
572,energy,outlier_high,1.0895
573,speechiness,missing_value,
578,energy,missing_value,
579,liveness,missing_value,
583,energy,missing_value,
590,instrumentalness,missing_value,
590,danceability,missing_value,
596,danceability,missing_value,
599,loudness,missing_value,
602,acousticness,missing_value,
606,loudness,missing_value,
606,acousticness,missing_value,
610,energy,outlier_high,1.1897
613,instrumentalness,missing_value,
614,loudness,missing_value,
614,speechiness,missing_value,
617,danceability,missing_value,
626,speechiness,missing_value,
632,loudness,outlier_low,-73.4840
634,acousticness,missing_value,
634,instrumentalness,missing_value,
645,tempo,missing_value,
645,instrumentalness,missing_value,
650,liveness,missing_value,
654,acousticness,missing_value,
656,tempo,missing_value,
663,liveness,missing_value,
666,tempo,missing_value,
669,tempo,missing_value,
671,danceability,missing_value,
678,danceability,missing_value,
681,loudness,missing_value,
691,tempo,missing_value,
696,energy,missing_value,
697,acousticness,missing_value,
698,tempo,missing_value,
700,acousticness,missing_value,
703,tempo,missing_value,
703,loudness,missing_value,
705,instrumentalness,missing_value,
706,speechiness,missing_value,
715,tempo,missing_value,
717,acousticness,missing_value,
717,speechiness,missing_value,
718,liveness,missing_value,
719,energy,missing_value,
721,instrumentalness,missing_value,
729,speechiness,missing_value,
731,energy,missing_value,
733,tempo,missing_value,
735,loudness,missing_value,
737,valence,missing_value,
739,acousticness,missing_value,
747,loudness,missing_value,
748,loudness,missing_value,
754,danceability,missing_value,
755,acousticness,missing_value,
760,speechiness,missing_value,
762,loudness,outlier_low,-83.3378
769,tempo,outlier_high,391.5284
770,danceability,missing_value,
771,speechiness,missing_value,
781,instrumentalness,missing_value,
782,energy,missing_value,
788,liveness,missing_value,
791,danceability,missing_value,
797,tempo,missing_value,
799,loudness,missing_value,
800,acousticness,missing_value,
802,valence,missing_value,
803,liveness,missing_value,
806,loudness,outlier_high,1.9109
809,danceability,missing_value,
811,energy,outlier_high,1.4296
813,speechiness,missing_value,
817,acousticness,missing_value,
820,instrumentalness,missing_value,
822,tempo,missing_value,
834,tempo,missing_value,
835,acousticness,missing_value,
835,loudness,missing_value,
836,liveness,missing_value,
839,speechiness,missing_value,
842,acousticness,missing_value,
846,speechiness,missing_value,
848,loudness,missing_value,
857,tempo,missing_value,
860,valence,missing_value,
863,tempo,missing_value,
864,liveness,missing_value,
864,danceability,missing_value,
868,valence,missing_value,
870,liveness,missing_value,
871,loudness,missing_value,
877,acousticness,missing_value,
880,speechiness,missing_value,
882,acousticness,missing_value,
885,valence,missing_value,
887,tempo,missing_value,
893,loudness,missing_value,
896,liveness,missing_value,
898,tempo,missing_value,
898,acousticness,missing_value,
900,loudness,missing_value,
903,speechiness,missing_value,
903,loudness,outlier_high,3.7308
905,speechiness,missing_value,
906,tempo,missing_value,
909,speechiness,missing_value,
926,energy,missing_value,
926,liveness,missing_value,
927,loudness,missing_value,
928,energy,missing_value,
931,valence,missing_value,
934,instrumentalness,missing_value,
938,liveness,missing_value,
939,loudness,outlier_low,-85.0709
947,tempo,outlier_low,0.7790
948,speechiness,missing_value,
952,speechiness,missing_value,
956,liveness,missing_value,
958,liveness,missing_value,
960,speechiness,missing_value,
961,danceability,missing_value,
975,danceability,missing_value,
981,danceability,missing_value,
982,instrumentalness,missing_value,
983,speechiness,missing_value,
991,energy,missing_value,
994,valence,missing_value,
997,loudness,missing_value,
1006,tempo,missing_value,
1007,danceability,missing_value,
1013,danceability,missing_value,
1015,liveness,missing_value,
1020,loudness,missing_value,
1032,tempo,missing_value,
1039,danceability,outlier_high,1.3610
1043,speechiness,missing_value,
1043,valence,missing_value,
1044,tempo,missing_value,
1050,speechiness,missing_value,
1056,valence,missing_value,
1058,loudness,missing_value,
1059,speechiness,missing_value,
1059,energy,missing_value,
1060,acousticness,missing_value,
1064,tempo,missing_value,
1071,liveness,missing_value,
1076,valence,missing_value,
1076,liveness,missing_value,
1079,instrumentalness,missing_value,
1079,speechiness,missing_value,
1082,liveness,missing_value,
1082,tempo,missing_value,
1083,valence,missing_value,
1088,liveness,missing_value,
1091,valence,missing_value,
1098,tempo,missing_value,
1102,liveness,missing_value,
1105,valence,missing_value,
1111,energy,missing_value,
1111,acousticness,missing_value,
1112,tempo,missing_value,
1116,acousticness,missing_value,
1120,loudness,missing_value,
1122,liveness,missing_value,
1125,danceability,missing_value,
1126,instrumentalness,missing_value,
1126,valence,missing_value,
1128,instrumentalness,missing_value,
1131,loudness,missing_value,
1134,danceability,missing_value,
1135,tempo,missing_value,
1135,speechiness,missing_value,
1141,valence,missing_value,
1141,liveness,missing_value,
1142,liveness,missing_value,
1142,loudness,missing_value,
1143,acousticness,missing_value,
1145,valence,missing_value,
1155,energy,missing_value,
1155,loudness,missing_value,
1157,danceability,missing_value,
1158,valence,missing_value,
1160,speechiness,missing_value,
1161,danceability,missing_value,
1161,tempo,missing_value,
1161,valence,missing_value,
1173,liveness,missing_value,
1175,tempo,outlier_high,382.5526
1185,tempo,missing_value,
1186,speechiness,missing_value,
1188,loudness,missing_value,
1188,tempo,missing_value,
1195,speechiness,missing_value,
1196,loudness,missing_value,
1202,danceability,missing_value,
1202,instrumentalness,missing_value,
1202,energy,missing_value,
1205,valence,missing_value,
1208,acousticness,missing_value,
1209,instrumentalness,missing_value,
1215,tempo,missing_value,
1218,liveness,missing_value,
1219,instrumentalness,missing_value,
1222,tempo,missing_value,
1231,tempo,outlier_high,306.3205
1231,liveness,missing_value,
1232,valence,missing_value,
1234,acousticness,missing_value,
1234,loudness,missing_value,
1235,loudness,missing_value,
1239,valence,missing_value,
1244,loudness,missing_value,
1246,valence,missing_value,
1247,instrumentalness,missing_value,
1250,energy,missing_value,
1253,acousticness,missing_value,
1258,loudness,missing_value,
1265,acousticness,missing_value,
1266,liveness,missing_value,
1270,instrumentalness,missing_value,
1272,acousticness,missing_value,
1279,liveness,missing_value,
1286,valence,missing_value,
1291,tempo,missing_value,
1292,danceability,missing_value,
1294,danceability,missing_value,
1294,acousticness,missing_value,
1295,valence,missing_value,
1296,loudness,missing_value,
1298,energy,outlier_low,-0.2194
1302,valence,missing_value,
1320,acousticness,missing_value,
1323,valence,missing_value,
1328,loudness,missing_value,
1329,valence,missing_value,
1329,instrumentalness,missing_value,
1334,valence,outlier_low,-0.1988
1337,valence,missing_value,
1338,speechiness,missing_value,
1362,valence,missing_value,
1369,instrumentalness,missing_value,
1371,tempo,missing_value,
1373,speechiness,missing_value,
1374,tempo,missing_value,
1375,danceability,missing_value,
1378,energy,missing_value,
1382,tempo,missing_value,
1384,danceability,missing_value,
1387,valence,missing_value,
1390,speechiness,missing_value,
1391,instrumentalness,missing_value,
1392,acousticness,missing_value,
1410,speechiness,missing_value,
1412,danceability,missing_value,
1424,tempo,outlier_low,5.9649
1429,instrumentalness,missing_value,
1432,energy,missing_value,
1434,tempo,missing_value,
1435,acousticness,missing_value,
1435,tempo,outlier_high,318.1713
1440,loudness,outlier_high,3.5944
1448,acousticness,missing_value,
1464,danceability,missing_value,
1477,speechiness,missing_value,
1479,valence,missing_value,
1484,valence,missing_value,
1488,loudness,missing_value,
1490,acousticness,missing_value,
1491,liveness,missing_value,
1497,danceability,missing_value,
1498,loudness,missing_value,
1499,liveness,missing_value,
1501,tempo,outlier_low,9.1436
1504,valence,missing_value,
1511,tempo,missing_value,
1513,liveness,missing_value,
1514,energy,missing_value,
1517,instrumentalness,missing_value,
1524,speechiness,missing_value,
1530,loudness,outlier_low,-71.2668
1531,instrumentalness,missing_value,
1532,instrumentalness,missing_value,
1532,energy,missing_value,
1534,loudness,missing_value,
1537,energy,missing_value,
1537,valence,missing_value,
1552,instrumentalness,missing_value,
1558,loudness,missing_value,
1561,acousticness,missing_value,
1577,instrumentalness,missing_value,
1577,valence,missing_value,
1580,valence,missing_value,
1586,valence,missing_value,
1588,tempo,missing_value,
1589,danceability,missing_value,
1593,acousticness,missing_value,
1595,acousticness,missing_value,
1598,acousticness,missing_value,
1600,valence,missing_value,
1603,tempo,missing_value,
1605,speechiness,missing_value,
1617,danceability,missing_value,
1622,valence,missing_value,
1623,valence,missing_value,
1624,energy,outlier_high,1.4267
1624,speechiness,missing_value,
1626,instrumentalness,missing_value,
1627,energy,missing_value,
1631,liveness,missing_value,
1638,danceability,missing_value,
1641,tempo,missing_value,
1649,liveness,missing_value,
1649,loudness,missing_value,
1650,speechiness,missing_value,
1650,loudness,missing_value,
1654,valence,outlier_high,1.4740
1655,instrumentalness,missing_value,
1656,acousticness,missing_value,
1658,valence,missing_value,
1659,acousticness,missing_value,
1675,tempo,missing_value,
1682,energy,missing_value,
1683,danceability,missing_value,
1683,energy,outlier_low,-0.0325
1689,valence,missing_value,
1694,energy,missing_value,
1695,speechiness,missing_value,
1696,liveness,missing_value,
1698,speechiness,missing_value,
1700,valence,missing_value,
1706,valence,missing_value,
1706,loudness,missing_value,
1708,speechiness,missing_value,
1714,liveness,missing_value,
1714,loudness,missing_value,
1718,danceability,outlier_low,-0.2227
1720,acousticness,missing_value,
1721,instrumentalness,missing_value,
1722,valence,missing_value,
1725,energy,missing_value,
1733,speechiness,missing_value,
1733,loudness,missing_value,
1734,liveness,missing_value,
1738,liveness,missing_value,
1745,tempo,missing_value,
1745,danceability,missing_value,
1749,energy,missing_value,
1750,loudness,missing_value,
1761,liveness,missing_value,
1763,tempo,missing_value,
1764,valence,missing_value,
1770,loudness,missing_value,
1775,danceability,missing_value,
1777,instrumentalness,missing_value,
1782,acousticness,missing_value,
1788,speechiness,missing_value,
1797,speechiness,missing_value,
1797,acousticness,missing_value,
1798,instrumentalness,missing_value,
1804,speechiness,missing_value,
1804,liveness,missing_value,
1807,danceability,missing_value,
1807,acousticness,missing_value,
1808,tempo,missing_value,
1808,energy,missing_value,
1811,energy,missing_value,
1812,liveness,missing_value,
1813,tempo,missing_value,
1818,energy,missing_value,
1819,instrumentalness,missing_value,
1819,energy,missing_value,
1825,instrumentalness,missing_value,
1826,tempo,missing_value,
1827,danceability,missing_value,
1834,tempo,missing_value,
1835,danceability,outlier_high,1.4209
1837,speechiness,missing_value,
1837,instrumentalness,missing_value,
1839,speechiness,missing_value,
1852,liveness,missing_value,
1854,liveness,missing_value,
1855,valence,missing_value,
1855,tempo,missing_value,
1856,liveness,missing_value,
1856,tempo,missing_value,
1858,liveness,missing_value,
1860,liveness,missing_value,
1867,liveness,missing_value,
1876,valence,missing_value,
1880,danceability,missing_value,
1885,loudness,outlier_high,5.4251
1887,energy,missing_value,
1888,liveness,missing_value,
1889,danceability,outlier_low,-0.2637
1896,loudness,missing_value,
1897,danceability,missing_value,
1899,energy,missing_value,
1900,acousticness,missing_value,
1900,instrumentalness,missing_value,
1902,liveness,missing_value,
1906,liveness,missing_value,
1907,speechiness,missing_value,
1909,instrumentalness,missing_value,
1910,energy,missing_value,
1915,tempo,outlier_high,345.6583
1915,speechiness,missing_value,
1921,energy,missing_value,
1924,danceability,missing_value,
1925,valence,outlier_high,1.3367
1927,tempo,missing_value,
1927,danceability,outlier_high,1.3635
1927,acousticness,missing_value,
1928,loudness,missing_value,
1931,valence,missing_value,
1933,danceability,missing_value,
1934,acousticness,missing_value,
1936,danceability,missing_value,
1942,energy,missing_value,
1942,valence,missing_value,
1943,speechiness,missing_value,
1944,instrumentalness,missing_value,
1950,acousticness,missing_value,
1950,speechiness,missing_value,
1952,liveness,missing_value,
1953,liveness,missing_value,
1953,speechiness,missing_value,
1954,acousticness,missing_value,
1956,danceability,missing_value,
1956,instrumentalness,missing_value,
1960,energy,outlier_low,-0.1510
1967,tempo,missing_value,
1972,tempo,outlier_high,369.4439
1977,loudness,missing_value,
1979,danceability,missing_value,
1980,acousticness,missing_value,
1983,speechiness,missing_value,
1990,acousticness,missing_value,
1994,energy,outlier_low,-0.1295
1995,loudness,missing_value,
1997,instrumentalness,missing_value,
1999,energy,missing_value,
2000,liveness,missing_value,
2004,valence,missing_value,
2004,danceability,missing_value,
2013,tempo,missing_value,
2023,liveness,missing_value,
2026,loudness,missing_value,
2027,energy,outlier_high,1.4823
2027,acousticness,missing_value,
2030,instrumentalness,missing_value,
2030,energy,missing_value,
2032,speechiness,missing_value,
2035,loudness,missing_value,
2036,liveness,missing_value,
2038,tempo,outlier_low,6.3812
2043,liveness,missing_value,
2044,instrumentalness,missing_value,
2046,speechiness,missing_value,
2049,valence,missing_value,
2052,valence,missing_value,
2054,instrumentalness,missing_value,
2056,energy,missing_value,
2066,valence,missing_value,
2067,tempo,missing_value,
2077,liveness,missing_value,
2082,speechiness,missing_value,
2084,liveness,missing_value,
2086,liveness,missing_value,
2088,loudness,missing_value,
2090,danceability,missing_value,
2094,energy,missing_value,
2096,tempo,missing_value,
2101,loudness,missing_value,
2102,speechiness,missing_value,
2108,danceability,missing_value,
2109,instrumentalness,missing_value,
2110,speechiness,missing_value,
2116,energy,missing_value,
2118,acousticness,missing_value,
2118,instrumentalness,missing_value,
2121,liveness,missing_value,
2122,valence,missing_value,
2125,loudness,missing_value,
2125,danceability,missing_value,
2125,liveness,missing_value,
2131,instrumentalness,missing_value,
2133,valence,missing_value,
2134,valence,missing_value,
2135,loudness,missing_value,
2135,tempo,missing_value,
2137,valence,outlier_low,-0.1748
2148,energy,outlier_high,1.2266
2149,acousticness,missing_value,
2157,liveness,missing_value,
2162,instrumentalness,missing_value,
2162,valence,missing_value,
2178,valence,missing_value,
2187,energy,missing_value,
2187,loudness,outlier_high,1.3709
2188,speechiness,missing_value,
2189,danceability,missing_value,
2192,liveness,missing_value,
2193,danceability,missing_value,
2193,energy,missing_value,
2199,liveness,missing_value,
2202,liveness,missing_value,
2212,instrumentalness,missing_value,
2214,valence,missing_value,
2217,loudness,outlier_high,6.1698
2220,instrumentalness,missing_value,
2223,liveness,missing_value,
2226,energy,outlier_low,-0.2173
2227,danceability,missing_value,
2231,valence,outlier_high,1.0799
2241,valence,missing_value,
2243,valence,missing_value,
2250,instrumentalness,missing_value,
2251,danceability,missing_value,
2254,danceability,missing_value,
2255,acousticness,missing_value,
2255,tempo,missing_value,
2265,valence,missing_value,
2270,valence,outlier_high,1.1191
2273,danceability,missing_value,
2275,acousticness,missing_value,
2280,energy,missing_value,
2286,tempo,outlier_high,361.7480
2286,instrumentalness,missing_value,
2290,tempo,missing_value,
2292,loudness,missing_value,
2307,acousticness,missing_value,
2308,valence,missing_value,
2309,instrumentalness,missing_value,
2309,loudness,outlier_low,-86.1823
2309,liveness,missing_value,
2310,valence,missing_value,
2312,energy,missing_value,
2312,loudness,missing_value,
2314,speechiness,missing_value,
2318,liveness,missing_value,
2322,valence,outlier_low,-0.2036
2324,speechiness,missing_value,
2326,energy,missing_value,
2327,instrumentalness,missing_value,
2332,valence,missing_value,
2344,valence,missing_value,
2345,instrumentalness,missing_value,
2361,energy,missing_value,
2370,tempo,missing_value,
2370,acousticness,missing_value,
2373,valence,missing_value,
2376,valence,outlier_high,1.1742
2380,loudness,missing_value,
2385,loudness,missing_value,
2388,loudness,missing_value,
2391,liveness,missing_value,
2393,tempo,missing_value,
2395,valence,missing_value,
2396,liveness,missing_value,
2396,valence,missing_value,
2406,valence,missing_value,
2409,danceability,missing_value,
2411,acousticness,missing_value,
2412,instrumentalness,missing_value,
2414,acousticness,missing_value,
2417,valence,outlier_high,1.3724
2418,acousticness,missing_value,
2422,valence,missing_value,
2422,liveness,missing_value,
2423,valence,missing_value,
2424,loudness,missing_value,
2426,tempo,outlier_high,381.4185
2439,valence,outlier_low,-0.0226
2440,tempo,outlier_high,361.5718
2442,loudness,missing_value,
2447,loudness,missing_value,
2448,liveness,missing_value,
2450,liveness,missing_value,
2452,danceability,outlier_low,-0.2759
2456,tempo,missing_value,
2461,valence,missing_value,
2463,loudness,missing_value,
2467,speechiness,missing_value,
2469,energy,outlier_high,1.4643
2470,danceability,missing_value,
2470,tempo,missing_value,
2472,valence,missing_value,
2476,acousticness,missing_value,
2480,instrumentalness,missing_value,
2481,energy,missing_value,
2483,loudness,missing_value,
2487,liveness,missing_value,
2494,liveness,missing_value,
2496,speechiness,missing_value,
2498,instrumentalness,missing_value,
2502,danceability,missing_value,
2509,loudness,outlier_high,7.5061
2514,acousticness,missing_value,
2517,loudness,missing_value,
2519,loudness,missing_value,
2520,valence,missing_value,
2525,acousticness,missing_value,
2529,valence,missing_value,
2537,danceability,missing_value,
2540,instrumentalness,missing_value,
2545,speechiness,missing_value,
2547,acousticness,missing_value,
2549,tempo,missing_value,
2551,energy,missing_value,
2553,loudness,missing_value,
2556,liveness,missing_value,
2558,acousticness,missing_value,
2558,valence,missing_value,
2560,tempo,outlier_low,1.0132
2562,instrumentalness,missing_value,
2565,instrumentalness,missing_value,
2568,instrumentalness,missing_value,
2571,speechiness,missing_value,
2571,liveness,missing_value,
2571,valence,outlier_low,-0.1248
2573,liveness,missing_value,
2579,instrumentalness,missing_value,
2581,valence,missing_value,
2588,tempo,missing_value,
2591,instrumentalness,missing_value,
2598,tempo,missing_value,
2600,loudness,missing_value,
2605,loudness,missing_value,
2608,acousticness,missing_value,
2616,tempo,missing_value,
2616,valence,missing_value,
2617,energy,outlier_low,-0.0732
2621,acousticness,missing_value,
2622,tempo,outlier_low,3.9332
2623,liveness,missing_value,
2624,energy,missing_value,
2627,speechiness,missing_value,
2628,danceability,missing_value,
2629,valence,missing_value,
2629,liveness,missing_value,
2631,acousticness,missing_value,
2636,acousticness,missing_value,
2639,energy,missing_value,
2642,acousticness,missing_value,
2645,energy,missing_value,
2654,tempo,missing_value,
2654,instrumentalness,missing_value,
2660,valence,missing_value,
2662,tempo,missing_value,
2663,valence,missing_value,
2669,valence,missing_value,
2669,speechiness,missing_value,
2676,valence,missing_value,
2677,energy,outlier_low,-0.2729
2677,tempo,missing_value,
2682,valence,missing_value,
2690,valence,missing_value,
2692,loudness,missing_value,
2699,acousticness,missing_value,
2701,loudness,missing_value,
2705,loudness,missing_value,
2705,valence,missing_value,
2706,tempo,missing_value,
2708,energy,missing_value,
2712,tempo,outlier_high,306.0070
2717,tempo,missing_value,
2718,speechiness,missing_value,
2718,valence,missing_value,
2725,danceability,missing_value,
2727,speechiness,missing_value,
2729,energy,missing_value,
2729,valence,missing_value,
2730,energy,missing_value,
2734,tempo,missing_value,
2736,danceability,missing_value,
2740,speechiness,missing_value,
2742,energy,missing_value,
2748,liveness,missing_value,
2750,speechiness,missing_value,
2753,tempo,outlier_high,301.6442
2755,danceability,missing_value,
2758,valence,outlier_high,1.3799
2761,loudness,missing_value,
2766,acousticness,missing_value,
2770,loudness,missing_value,
2773,energy,missing_value,
2775,tempo,missing_value,
2777,danceability,missing_value,
2783,instrumentalness,missing_value,
2788,tempo,missing_value,
2790,liveness,missing_value,
2790,instrumentalness,missing_value,
2795,danceability,missing_value,
2804,tempo,missing_value,
2808,liveness,missing_value,
2812,danceability,missing_value,
2818,valence,missing_value,
2820,acousticness,missing_value,
2823,instrumentalness,missing_value,
2824,speechiness,missing_value,
2825,energy,missing_value,
2828,liveness,missing_value,
2839,loudness,missing_value,
2844,valence,missing_value,
2846,acousticness,missing_value,
2849,loudness,missing_value,
2850,instrumentalness,missing_value,
2858,danceability,missing_value,
2869,speechiness,missing_value,
2872,instrumentalness,missing_value,
2874,danceability,missing_value,
2876,tempo,missing_value,
2878,speechiness,missing_value,
2883,loudness,missing_value,
2885,speechiness,missing_value,
2885,tempo,missing_value,
2902,speechiness,missing_value,
2903,instrumentalness,missing_value,
2904,liveness,missing_value,
2907,loudness,outlier_low,-76.8639
2909,speechiness,missing_value,
2910,speechiness,missing_value,
2912,speechiness,missing_value,
2913,speechiness,missing_value,
2916,speechiness,missing_value,
2919,tempo,outlier_high,317.9076
2924,energy,missing_value,
2925,instrumentalness,missing_value,
2925,liveness,missing_value,
2926,valence,missing_value,
2927,speechiness,missing_value,
2927,instrumentalness,missing_value,
2933,liveness,missing_value,
2937,tempo,outlier_low,13.8738
2938,acousticness,missing_value,
2939,instrumentalness,missing_value,
2945,acousticness,missing_value,
2947,danceability,outlier_high,1.3955
2954,valence,outlier_low,-0.0587
2958,loudness,missing_value,
2967,speechiness,missing_value,
2971,instrumentalness,missing_value,
2972,loudness,missing_value,
2974,speechiness,missing_value,
2981,speechiness,missing_value,
2992,loudness,missing_value,
2994,liveness,missing_value,
2998,tempo,missing_value,
3004,danceability,missing_value,
3006,speechiness,missing_value,
3009,valence,missing_value,
3014,tempo,missing_value,
3017,liveness,missing_value,
3018,energy,missing_value,
3018,danceability,missing_value,
3019,danceability,missing_value,
3021,tempo,missing_value,
3023,energy,missing_value,
3028,danceability,missing_value,
3031,tempo,missing_value,
3033,acousticness,missing_value,
3034,energy,missing_value,
3036,tempo,missing_value,
3037,acousticness,missing_value,
3038,danceability,outlier_high,1.2555
3043,instrumentalness,missing_value,
3050,energy,missing_value,
3055,energy,missing_value,
3057,speechiness,missing_value,
3059,liveness,missing_value,
3060,danceability,missing_value,
3067,instrumentalness,missing_value,
3073,energy,missing_value,
3086,tempo,missing_value,
3087,loudness,missing_value,
3094,acousticness,missing_value,
3107,valence,outlier_high,1.3646
3109,tempo,outlier_low,3.2364
3114,liveness,missing_value,
3126,valence,missing_value,
3134,speechiness,missing_value,
3139,energy,missing_value,
3139,valence,missing_value,
3148,speechiness,missing_value,
3167,instrumentalness,missing_value,
3167,tempo,missing_value,
3167,acousticness,missing_value,
3168,valence,missing_value,
3177,danceability,missing_value,
3190,valence,missing_value,
3190,liveness,missing_value,
3192,acousticness,missing_value,
3194,instrumentalness,missing_value,
3196,energy,outlier_high,1.2027
3197,valence,missing_value,
3198,liveness,missing_value,
3199,tempo,missing_value,
3201,speechiness,missing_value,
3201,instrumentalness,missing_value,
3203,danceability,missing_value,
3207,danceability,missing_value,
3207,liveness,missing_value,
3211,speechiness,missing_value,
3212,speechiness,missing_value,
3213,tempo,outlier_high,378.2189
3213,acousticness,missing_value,
3217,energy,missing_value,
3228,energy,missing_value,
3231,valence,missing_value,
3235,valence,outlier_low,-0.0592
3241,energy,missing_value,
3245,acousticness,missing_value,
3245,valence,missing_value,
3247,acousticness,missing_value,
3248,instrumentalness,missing_value,
3250,liveness,missing_value,
3251,tempo,missing_value,
3253,valence,missing_value,
3255,valence,missing_value,
3260,energy,outlier_low,-0.0133
3264,danceability,missing_value,
3266,speechiness,missing_value,
3287,speechiness,missing_value,
3288,loudness,missing_value,
3291,danceability,missing_value,
3291,energy,missing_value,
3292,loudness,missing_value,
3293,instrumentalness,missing_value,
3298,danceability,missing_value,
3300,liveness,missing_value,
3300,instrumentalness,missing_value,
3301,acousticness,missing_value,
3307,energy,missing_value,
3307,acousticness,missing_value,
3309,danceability,outlier_low,-0.1839
3312,valence,missing_value,
3315,valence,missing_value,
3315,speechiness,missing_value,
3330,instrumentalness,missing_value,
3330,danceability,missing_value,
3336,acousticness,missing_value,
3341,instrumentalness,missing_value,
3341,speechiness,missing_value,
3346,acousticness,missing_value,
3349,speechiness,missing_value,
3349,energy,missing_value,
3350,danceability,missing_value,
3353,valence,missing_value,
3356,valence,missing_value,
3359,acousticness,missing_value,
3362,speechiness,missing_value,
3370,loudness,missing_value,
3375,acousticness,missing_value,
3377,liveness,missing_value,
3381,liveness,missing_value,
